time	V(out)	V(out2)	V(n001)
0.000000000000000e+00	1.827288504457161e-06	2.320781194594742e-06	1.440449728211245e-05
2.000000000000000e-10	7.699433573491952e-05	7.718396482070790e-05	4.493414761824738e-03
4.000000000000001e-10	3.400685550119645e-04	3.424631365241799e-04	7.852170931440815e-03
6.000000000000001e-10	8.811111173909367e-04	8.839916057842821e-04	9.205757387771305e-03
8.000000000000001e-10	1.735609670433145e-03	1.740683072694458e-03	8.336196955245435e-03
1.000000000000000e-09	2.814688472551753e-03	2.819239833809983e-03	5.340180109073245e-03
1.200000000000000e-09	3.970498636984275e-03	3.975390915708228e-03	1.053155066079818e-03
1.400000000000000e-09	4.972745231354510e-03	4.974833180863047e-03	-3.562779124315369e-03
1.600000000000000e-09	5.622477157586304e-03	5.622738811904904e-03	-7.254517393383860e-03
1.800000000000000e-09	5.746732139873512e-03	5.742681503576465e-03	-9.215790785392006e-03
2.000000000000001e-09	5.293355716229366e-03	5.287014297324692e-03	-8.845747705111151e-03
2.200000000000000e-09	4.295809282522239e-03	4.285944203114807e-03	-6.340138104847279e-03
2.400000000000000e-09	2.919330076888266e-03	2.909130048289152e-03	-2.207779588319540e-03
2.600000000000001e-09	1.367819920638546e-03	1.356888082152317e-03	2.446237390084337e-03
2.800000000000000e-09	-9.702024056305842e-05	-1.051972292169826e-04	6.568342781317550e-03
3.000000000000000e-09	-1.274658086859225e-03	-1.280797637053084e-03	9.022278728768535e-03
3.200000000000001e-09	-2.017211891689832e-03	-2.018748776514377e-03	9.302243411997977e-03
3.400000000000001e-09	-2.310475950696305e-03	-2.309413982891184e-03	7.223035402166990e-03
3.600000000000001e-09	-2.219940562237079e-03	-2.215075555307922e-03	3.398335674934012e-03
3.800000000000001e-09	-1.921089857827141e-03	-1.915497408309388e-03	-1.337419296765187e-03
4.000000000000001e-09	-1.598770469052596e-03	-1.591803923023093e-03	-5.707915268479662e-03
4.200000000000000e-09	-1.448916868282663e-03	-1.443559515653101e-03	-8.736744137510306e-03
4.400000000000001e-09	-1.576157070762308e-03	-1.571107284295472e-03	-9.554255008556748e-03
4.600000000000001e-09	-2.012765315535737e-03	-2.009943764452117e-03	-8.063706856743701e-03
4.800000000000001e-09	-2.660178238617822e-03	-2.657137070399003e-03	-4.526047593939250e-03
5.000000000000001e-09	-3.370073104320720e-03	-3.367805407744744e-03	1.065689700626753e-04
5.200000000000001e-09	-3.917310798068901e-03	-3.912926658542926e-03	4.784117054022178e-03
5.400000000000001e-09	-4.119321030081788e-03	-4.113967506593891e-03	8.244841603641967e-03
5.600000000000001e-09	-3.828284641463056e-03	-3.819867238179179e-03	9.725570419280379e-03
5.800000000000001e-09	-3.026285610177197e-03	-3.017145555720602e-03	8.749450693156148e-03
6.000000000000001e-09	-1.780454144777252e-03	-1.769794509273451e-03	5.652342670311346e-03
6.200000000000001e-09	-2.841329051341084e-04	-2.753279664299826e-04	1.081996697523453e-03
6.400000000000001e-09	1.233009266229968e-03	1.240239005056963e-03	-3.716675022305027e-03
6.600000000000001e-09	2.511270249316417e-03	2.513732213242923e-03	-7.660046935151321e-03
6.800000000000001e-09	3.372170581744900e-03	3.370929154394963e-03	-9.678705980048172e-03
7.000000000000001e-09	3.697457113573364e-03	3.690582712385823e-03	-9.354362883576701e-03
7.200000000000002e-09	3.516009624879933e-03	3.506017031648288e-03	-6.658420086505732e-03
7.400000000000001e-09	2.938332606853022e-03	2.924646281195091e-03	-2.358782573832356e-03
7.600000000000002e-09	2.174664949842100e-03	2.160740088511476e-03	2.603952366383991e-03
7.800000000000002e-09	1.438464158395070e-03	1.424110160953683e-03	6.888549080115125e-03
